Trans. Date,Post Date,Description,Amount,Category
08/16/2022,08/16/2022,"BEST BUY 00002048295 AUSTIN TX",49.69,"Merchandise"
08/16/2022,08/16/2022,"LOWE'S OF S.W. AUSTIN, T AUSTIN TX",21.30,"Home Improvement"
08/17/2022,08/17/2022,"002 TORCHYS ARBOR TRAILS AUSTIN TX",7.63,"Restaurants"
08/19/2022,08/19/2022,"INTERNET PAYMENT - THANK YOU",-308.69,"Payments and Credits"
08/19/2022,08/20/2022,"002 TORCHYS ARBOR TRAILS AUSTIN TX",15.54,"Restaurants"
08/20/2022,08/20/2022,"AUTOMATIC STATEMENT CREDIT",-7.63,"Awards and Rebate Credits"
08/20/2022,08/20/2022,"JERSEY MIKES 15010 AUSTIN TX",15.30,"Restaurants"
08/20/2022,08/20/2022,"MCDONALD'S F23614 AUSTIN TX",7.00,"Restaurants"
08/20/2022,08/20/2022,"SHELL57542085501 AUSTIN TX",62.06,"Gasoline"
08/20/2022,08/20/2022,"U-HAUL MOVING & STORAGE 800-789-3638 TX",144.10,"Travel/ Entertainment"
08/22/2022,08/22/2022,"NI CAFE AUSTIN TX",9.46,"Restaurants"
08/22/2022,08/22/2022,"SHELL12508189003 LEANDER TX",22.18,"Gasoline"
08/23/2022,08/23/2022,"U-HAUL CO 800-789-3638 TX",97.35,"Travel/ Entertainment"
08/24/2022,08/24/2022,"NI CAFE AUSTIN TX",9.89,"Restaurants"
08/25/2022,08/25/2022,"BEST BUY MH00002030295 AUSTIN TX",324.74,"Merchandise"
08/25/2022,08/25/2022,"NI CAFE AUSTIN TX",8.00,"Restaurants"
08/25/2022,08/25/2022,"WENDY'S 129 AUSTIN TX",4.33,"Restaurants"
08/25/2022,08/26/2022,"BEST BUY MH00002030295 AUSTIN TX",-21.64,"Payments and Credits"
08/27/2022,08/27/2022,"CIRCLE K #2740967 AUSTIN TX",11.78,"Gasoline"
08/27/2022,08/27/2022,"FGTSTUBBS TIX 512-389-0315 TX",69.75,"Travel/ Entertainment"
08/27/2022,08/27/2022,"RIVERSIDE GOLF COURSE AUSTIN TX",82.28,"Travel/ Entertainment"
08/28/2022,08/28/2022,"TARGET 00017970091 AUSTIN TX",62.98,"Supermarkets"
08/29/2022,08/29/2022,"7-ELEVEN 36581 CEDAR PARK TX",26.28,"Gasoline"
08/30/2022,08/30/2022,"EXXONMOBIL AUSTIN TX",58.40,"Gasoline"
08/30/2022,08/30/2022,"NI CAFE AUSTIN TX",9.30,"Restaurants"
08/31/2022,08/31/2022,"NI CAFE AUSTIN TX",4.33,"Restaurants"
08/31/2022,08/31/2022,"NI CAFE AUSTIN TX",8.05,"Restaurants"
09/01/2022,09/01/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-138.39,"Awards and Rebate Credits"
09/01/2022,09/01/2022,"FIREHOUSE SUBS 0431 QSR AUSTIN TX",18.00,"Restaurants"
09/01/2022,09/01/2022,"INTERNET PAYMENT - THANK YOU",-211.61,"Payments and Credits"
09/01/2022,09/01/2022,"U-HAUL MOVING & STORAGE 800-789-3638 TX",6.49,"Merchandise"
09/02/2022,09/02/2022,"TARGET 00024091091 AUSTIN TX",89.83,"Supermarkets"
09/02/2022,09/02/2022,"VETSOURCE 877-738-4443 OR39048502",25.02,"Services"
09/04/2022,09/04/2022,"CHEWY.COM 800-672-4399 FLPMT-IBJTGIZKZD",75.42,"Merchandise"
09/04/2022,09/04/2022,"JERSEY MIKES 15048 AUSTIN TX",14.01,"Restaurants"
09/04/2022,09/04/2022,"LOWE'S OF CENTRAL AUSTIN AUSTIN TX",193.54,"Home Improvement"
09/04/2022,09/04/2022,"TEXACO 0376654 AUSTIN TX00376654 5483476 I",22.72,"Gasoline"
09/04/2022,09/04/2022,"WTF ICEHOUSE AUSTIN TX",22.00,"Restaurants"
09/05/2022,09/05/2022,"COA PARKS & REC AUSTIN TX",17.00,"Services"
09/07/2022,09/07/2022,"CHEWY.COM 800-672-4399 FLPMT-IBJTGIZKZD",95.25,"Merchandise"
09/07/2022,09/07/2022,"NI CAFE AUSTIN TX",4.06,"Restaurants"
09/07/2022,09/07/2022,"NI CAFE AUSTIN TX",6.75,"Restaurants"
09/08/2022,09/08/2022,"NI CAFE AUSTIN TX",5.89,"Restaurants"
09/09/2022,09/09/2022,"APPLE STORE #R216 AUSTIN TXR216116289701",106.09,"Merchandise"
09/09/2022,09/09/2022,"CHILDHELP* BACKPACK DR 4805425952 AZ",21.65,"Services"
09/10/2022,09/10/2022,"TST* CLIVE BAR AUSTIN TX00062814008521038856AA",9.48,"Restaurants"
09/10/2022,09/10/2022,"TST* CLIVE BAR AUSTIN TX00062814008521598998AA",9.48,"Restaurants"
09/11/2022,09/11/2022,"CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 2160PMT-H52NZITIIR",90.91,"Merchandise"
09/11/2022,09/11/2022,"ICENHAUER'S AUSTIN TX",9.00,"Restaurants"
09/11/2022,09/11/2022,"THE PARLOR ROOM AUSTIN TX",24.00,"Restaurants"
09/11/2022,09/11/2022,"UNBARLIEVABLE AUSTIN TX",10.50,"Restaurants"
09/13/2022,09/13/2022,"7-ELEVEN 36609 AUSTIN TX",32.99,"Gasoline"
09/13/2022,09/13/2022,"INTERNET PAYMENT - THANK YOU",-300.00,"Payments and Credits"
09/14/2022,09/14/2022,"NI CAFE AUSTIN TX",4.33,"Restaurants"
09/14/2022,09/14/2022,"NI CAFE AUSTIN TX",8.05,"Restaurants"
09/15/2022,09/15/2022,"INTERNET PAYMENT - THANK YOU",-1258.55,"Payments and Credits"
09/16/2022,09/16/2022,"H-E-B GAS/CARWASH #265 CEDAR PARK TX",45.00,"Gasoline"
09/17/2022,09/17/2022,"SQ *BISHOP CIDER CO, L AUSTIN TX0002305843016303590416",12.98,"Supermarkets"
09/17/2022,09/17/2022,"SQ *BISHOP CIDER CO, L AUSTIN TX0002305843016303749789",36.98,"Supermarkets"
09/20/2022,09/20/2022,"AUTOMATIC STATEMENT CREDIT",-20.60,"Awards and Rebate Credits"
09/22/2022,09/22/2022,"SW AIR DALLAS TX",155.96,"Travel/ Entertainment"
09/25/2022,09/25/2022,"TEXACO 0355588 LEANDER TX00355588 8833808 I",7.03,"Gasoline"
09/25/2022,09/25/2022,"TEXACO 0355588 LEANDER TX00355588 8833807 I",39.74,"Gasoline"
09/26/2022,09/26/2022,"TST* CABO BOBS BURRITO AUSTIN TX00051084008721220291AA",15.05,"Restaurants"
10/06/2022,10/06/2022,"INTERNET PAYMENT - THANK YOU",-337.51,"Payments and Credits"
11/02/2022,11/02/2022,"VETSOURCE 877-738-4443 OR40563114",24.49,"Services"
11/08/2022,11/08/2022,"INTERNET PAYMENT - THANK YOU",-24.49,"Payments and Credits"
